account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,any_current,website,sources,company_url,wikipedia_url
Integrity Marketing Group,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/integrity-marketing-group/,
IntelePeer,1,Accel-KKR,accel-kkr,no,yes,https://intelepeer.ai,official_site,https://www.accel-kkr.com/portfolio-company/intelepeer/,
Intelsat,1,Silver Lake,silver-lake,no,yes,,official_site|wikipedia,https://www.silverlake.com/portfolio/intelsat/,https://en.wikipedia.org/wiki/Intelsat
Interactive Data Corporation,1,Silver Lake,silver-lake,no,yes,,official_site|wikipedia,https://www.silverlake.com/portfolio/interactive-data-corporation/,https://en.wikipedia.org/wiki/Interactive_Data_Corporation
Intergraph Corporation,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/intergraph-corporation/,
Internet Brands,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/internet-brands-inc/,
InvoiceCloud,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/invoicecloud/,
IonQ,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/ionq/,
IPC,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/ipc/,
IRIS Software Group Limited,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/iris-software-group-limited/,
Island / Instinet Group,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/island-instinet-group/,
isolved HCM,1,Accel-KKR,accel-kkr,no,yes,https://www.isolvedhcm.com,official_site,https://www.accel-kkr.com/portfolio-company/isolvedhcm/,
Iterable,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/iterable/,
IVC Evidensia,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/ivc-evidensia/,
JAGGAER,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/jaggaer/,https://en.wikipedia.org/wiki/Jaggaer
Jamf,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/jamf/,
Jet Support Services,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Jio,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/jio/,
Jio Platforms,1,Silver Lake,silver-lake,no,yes,,official_site|wikipedia,https://www.silverlake.com/portfolio/jio-platforms-2/,https://en.wikipedia.org/wiki/Jio_Platforms
Joblogic,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/joblogic/,
Kaleris,1,Accel-KKR,accel-kkr,no,yes,https://www.kaleris.com,official_site,https://www.accel-kkr.com/portfolio-company/kaleris/,
Kantata,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/kantata/,
Khazna Data Centers,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/khazna-data-centers/,
Khoros,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/khoros/,https://en.wikipedia.org/wiki/Khoros%2C_LLC
KIBO,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/kibo/,
KnowBe4,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/knowbe4/,
Koubei,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/koubei/,
La Centrale,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
LeagueApps,1,Accel-KKR,accel-kkr,no,yes,https://leagueapps.com,official_site,https://www.accel-kkr.com/portfolio-company/leagueapps/,
LeanDNA,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/leandna/,
LEARFIELD,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/learfield-img-college/,
Lemontech,1,Accel-KKR,accel-kkr,no,yes,https://www.lemontech.com,official_site,https://www.accel-kkr.com/portfolio-company/lemontech/,
LifeLoop,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/lifeloop/,
LightBox,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/lightbox/,
Lightspeed Systems,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Likewize,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Locaweb,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/locaweb/,
Loftware,1,Accel-KKR,accel-kkr,no,yes,https://www.loftware.com,official_site,https://www.accel-kkr.com/portfolio-company/loftware/,
LogicMonitor,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/logicmonitor/,
Lone Wolf Real Estate Technologies,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/lone-wolf/,
LPL Financial Holdings,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/lpl-financial-holdings-inc/,
Lucid,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/lucid/,
mabl,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/mabl/,
Madison Square Garden Sports,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/the-madison-square-garden-company/,
Main Street Hub,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/main-street-hub/,
Marketo,1,Vista Equity Partners,vista-equity,no,yes,,geig_article|official_site,https://www.vistaequitypartners.com/company/marketo/,
Marlink,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
MASA Global,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Masabi,1,Accel-KKR,accel-kkr,no,yes,https://www.masabi.com,official_site,https://www.accel-kkr.com/portfolio-company/masabi/,
MCI,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/mci/,
Mcmtech,1,Accel-KKR,accel-kkr,no,yes,https://www.mcmtechnology.com,official_site,https://www.accel-kkr.com/portfolio-company/mcmtech/,
Mediaocean,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/mediaocean/,https://en.wikipedia.org/wiki/Mediaocean
Mediawan,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
Medline,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/medline/,
MedTrainer,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/medtrainer/,
Mehiläinen,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/mehilainen/,
Menlo Security,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/menlo-security/,
Mercer Advisors,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Mercury Healthcare,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/healthgrades/,
Mercury Payment Systems,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/mercury-payment-solutions/,
MicroEdge,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/microedge/,
MidCap Financial,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Mirakl,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/mirakl/,
Mission Pet Health,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/mission-pet-health/,
Mitchell International Holdings,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/mitchell-international-holdings-inc/,
Mitratech,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/mitratech/,
Mobile Health,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/mobile-health/,
Model N,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/model-n/,
Modern Campus,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
Mondrian Investment Partners,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/mondrian-investment-partners-ltd/,
Motorola Solutions,1,Silver Lake,silver-lake,no,yes,,official_site|wikipedia,https://www.silverlake.com/portfolio/motorola-solutions/,https://en.wikipedia.org/wiki/Motorola_Solutions
MRI Software,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/mri-software/,https://en.wikipedia.org/wiki/MRI_Software
mSupply,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
MultiPlan,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/multiplan/,
