account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Vubiquity,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Vubiquity,https://en.wikipedia.org/wiki/Vubiquity
VYNE,1,Accel-KKR,accel-kkr,no,official_site,,
Warburg Pincus,1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Warburg_Pincus,https://en.wikipedia.org/wiki/Warburg_Pincus
Warner Music Group,1,Providence Equity Partners,providence-equity,yes,geig_article|wikipedia,https://en.wikipedia.org/wiki/Warner_Music_Group,https://en.wikipedia.org/wiki/Warner_Music_Group
Watchguard,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/watchguard,
Water Pik,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Water_Pik,https://en.wikipedia.org/wiki/Water_Pik
Watertec,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/watertec/,
Waymo,1,Silver Lake,silver-lake,no,official_site|wikipedia,https://www.silverlake.com/portfolio/waymo/,https://en.wikipedia.org/wiki/Waymo
Waystar,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/waystar,
Waystone,1,Hg,hg,no,official_site,,
Weather,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/the-weather-company,
Weave Living,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/weave-living/,
Web Reservations International,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/web-reservations-international-ltd/,
