account_name,pe_firm,pe_firm_id,pe_hq_city,pe_hq_region,pe_list_role,pe_multi_sector,investment_status,description,region,strategy,website,sources,source_urls,company_url,wikipedia_url,firm_portfolio_url
Corel,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Corel,https://en.wikipedia.org/wiki/Corel,https://en.wikipedia.org/wiki/Corel,https://www.kkr.com/
Cross River Bank,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Cross_River_Bank,https://en.wikipedia.org/wiki/Cross_River_Bank,https://en.wikipedia.org/wiki/Cross_River_Bank,https://www.kkr.com/
CyrusOne,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/CyrusOne,https://en.wikipedia.org/wiki/CyrusOne,https://en.wikipedia.org/wiki/CyrusOne,https://www.kkr.com/
Del Monte Foods,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Del_Monte_Foods,https://en.wikipedia.org/wiki/Del_Monte_Foods,https://en.wikipedia.org/wiki/Del_Monte_Foods,https://www.kkr.com/
Demag,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Demag,https://en.wikipedia.org/wiki/Demag,https://en.wikipedia.org/wiki/Demag,https://www.kkr.com/
Dollar General,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Dollar_General,https://en.wikipedia.org/wiki/Dollar_General,https://en.wikipedia.org/wiki/Dollar_General,https://www.kkr.com/
Eclipse ERP,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Eclipse_ERP,https://en.wikipedia.org/wiki/Eclipse_ERP,https://en.wikipedia.org/wiki/Eclipse_ERP,https://www.kkr.com/
Energy Future Holdings,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Energy_Future_Holdings,https://en.wikipedia.org/wiki/Energy_Future_Holdings,https://en.wikipedia.org/wiki/Energy_Future_Holdings,https://www.kkr.com/
Envision Healthcare,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Envision_Healthcare,https://en.wikipedia.org/wiki/Envision_Healthcare,https://en.wikipedia.org/wiki/Envision_Healthcare,https://www.kkr.com/
Epicor,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Epicor,https://en.wikipedia.org/wiki/Epicor,https://en.wikipedia.org/wiki/Epicor,https://www.kkr.com/
ERM (consultancy),KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/ERM_%28consultancy%29,https://en.wikipedia.org/wiki/ERM_%28consultancy%29,https://en.wikipedia.org/wiki/ERM_%28consultancy%29,https://www.kkr.com/
Exact (company),KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Exact_%28company%29,https://en.wikipedia.org/wiki/Exact_%28company%29,https://en.wikipedia.org/wiki/Exact_%28company%29,https://www.kkr.com/
FGS Global,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/FGS_Global,https://en.wikipedia.org/wiki/FGS_Global,https://en.wikipedia.org/wiki/FGS_Global,https://www.kkr.com/
First Data,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/First_Data,https://en.wikipedia.org/wiki/First_Data,https://en.wikipedia.org/wiki/First_Data,https://www.kkr.com/
Fiserv,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Fiserv,https://en.wikipedia.org/wiki/Fiserv,https://en.wikipedia.org/wiki/Fiserv,https://www.kkr.com/
Fleet Farm,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Fleet_Farm,https://en.wikipedia.org/wiki/Fleet_Farm,https://en.wikipedia.org/wiki/Fleet_Farm,https://www.kkr.com/
Flora Food Group,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Flora_Food_Group,https://en.wikipedia.org/wiki/Flora_Food_Group,https://en.wikipedia.org/wiki/Flora_Food_Group,https://www.kkr.com/
Fred Meyer,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Fred_Meyer,https://en.wikipedia.org/wiki/Fred_Meyer,https://en.wikipedia.org/wiki/Fred_Meyer,https://www.kkr.com/
Gibson (guitar company),KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Gibson_%28guitar_company%29,https://en.wikipedia.org/wiki/Gibson_%28guitar_company%29,https://en.wikipedia.org/wiki/Gibson_%28guitar_company%29,https://www.kkr.com/
GoDaddy,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,https://www.kkr.com/
Gojek,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Gojek,https://en.wikipedia.org/wiki/Gojek,https://en.wikipedia.org/wiki/Gojek,https://www.kkr.com/
Good Hair Day,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Good_Hair_Day,https://en.wikipedia.org/wiki/Good_Hair_Day,https://en.wikipedia.org/wiki/Good_Hair_Day,https://www.kkr.com/
GreenSky,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/GreenSky,https://en.wikipedia.org/wiki/GreenSky,https://en.wikipedia.org/wiki/GreenSky,https://www.kkr.com/
HCA Healthcare,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/HCA_Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,https://www.kkr.com/
Hensoldt,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Hensoldt,https://en.wikipedia.org/wiki/Hensoldt,https://en.wikipedia.org/wiki/Hensoldt,https://www.kkr.com/
Houdaille Industries,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Houdaille_Industries,https://en.wikipedia.org/wiki/Houdaille_Industries,https://en.wikipedia.org/wiki/Houdaille_Industries,https://www.kkr.com/
Hyperoptic,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Hyperoptic,https://en.wikipedia.org/wiki/Hyperoptic,https://en.wikipedia.org/wiki/Hyperoptic,https://www.kkr.com/
ICON,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/ICON_PLC,https://en.wikipedia.org/wiki/ICON_PLC,https://en.wikipedia.org/wiki/ICON_PLC,https://www.kkr.com/
IndiGrid,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/IndiGrid,https://en.wikipedia.org/wiki/IndiGrid,https://en.wikipedia.org/wiki/IndiGrid,https://www.kkr.com/
Ingersoll Rand,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Ingersoll_Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,https://www.kkr.com/
Instructure,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Instructure,https://en.wikipedia.org/wiki/Instructure,https://en.wikipedia.org/wiki/Instructure,https://www.kkr.com/
Internet Brands,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Internet_Brands,https://en.wikipedia.org/wiki/Internet_Brands,https://en.wikipedia.org/wiki/Internet_Brands,https://www.kkr.com/
Jio Platforms,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Jio_Platforms,https://en.wikipedia.org/wiki/Jio_Platforms,https://en.wikipedia.org/wiki/Jio_Platforms,https://www.kkr.com/
John Laing Group,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/John_Laing_Group,https://en.wikipedia.org/wiki/John_Laing_Group,https://en.wikipedia.org/wiki/John_Laing_Group,https://www.kkr.com/
Kanopy,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Kanopy,https://en.wikipedia.org/wiki/Kanopy,https://en.wikipedia.org/wiki/Kanopy,https://www.kkr.com/
KinderCare Learning Centers,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/KinderCare_Learning_Centers,https://en.wikipedia.org/wiki/KinderCare_Learning_Centers,https://en.wikipedia.org/wiki/KinderCare_Learning_Centers,https://www.kkr.com/
KION Group,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/KION_Group,https://en.wikipedia.org/wiki/KION_Group,https://en.wikipedia.org/wiki/KION_Group,https://www.kkr.com/
KKR &,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/KKR_%26_Co.,https://en.wikipedia.org/wiki/KKR_%26_Co.,https://en.wikipedia.org/wiki/KKR_%26_Co.,https://www.kkr.com/
Landis+Gyr,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Landis%2BGyr,https://en.wikipedia.org/wiki/Landis%2BGyr,https://en.wikipedia.org/wiki/Landis%2BGyr,https://www.kkr.com/
Latitude Financial Services,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Latitude_Financial_Services,https://en.wikipedia.org/wiki/Latitude_Financial_Services,https://en.wikipedia.org/wiki/Latitude_Financial_Services,https://www.kkr.com/
Legrand (company),KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Legrand_%28company%29,https://en.wikipedia.org/wiki/Legrand_%28company%29,https://en.wikipedia.org/wiki/Legrand_%28company%29,https://www.kkr.com/
Lenskart,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Lenskart,https://en.wikipedia.org/wiki/Lenskart,https://en.wikipedia.org/wiki/Lenskart,https://www.kkr.com/
Leonine Holding,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Leonine_Holding,https://en.wikipedia.org/wiki/Leonine_Holding,https://en.wikipedia.org/wiki/Leonine_Holding,https://www.kkr.com/
LGC,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/LGC_Ltd,https://en.wikipedia.org/wiki/LGC_Ltd,https://en.wikipedia.org/wiki/LGC_Ltd,https://www.kkr.com/
Lighthouse Learning,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Lighthouse_Learning,https://en.wikipedia.org/wiki/Lighthouse_Learning,https://en.wikipedia.org/wiki/Lighthouse_Learning,https://www.kkr.com/
Livspace,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Livspace,https://en.wikipedia.org/wiki/Livspace,https://en.wikipedia.org/wiki/Livspace,https://www.kkr.com/
Longview Power Plant,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Longview_Power_Plant,https://en.wikipedia.org/wiki/Longview_Power_Plant,https://en.wikipedia.org/wiki/Longview_Power_Plant,https://www.kkr.com/
Marelli Europe,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Marelli_Europe,https://en.wikipedia.org/wiki/Marelli_Europe,https://en.wikipedia.org/wiki/Marelli_Europe,https://www.kkr.com/
Marelli Holdings,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Marelli_Holdings,https://en.wikipedia.org/wiki/Marelli_Holdings,https://en.wikipedia.org/wiki/Marelli_Holdings,https://www.kkr.com/
Marshall Wace,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Marshall_Wace,https://en.wikipedia.org/wiki/Marshall_Wace,https://en.wikipedia.org/wiki/Marshall_Wace,https://www.kkr.com/
